Time Period,Time Period Start,Time Period End,Week,Start,End
Q2-2016,4/1/2016,6/30/2016,10,6/6/2016,6/12/2016
Q2-2016,4/1/2016,6/30/2016,11,6/13/2016,6/19/2016
Q2-2016,4/1/2016,6/30/2016,12,6/20/2016,6/26/2016
Q2-2016,4/1/2016,6/30/2016,13,6/27/2016,6/30/2016
Q3-2016,7/1/2016,9/30/2016,1,7/1/2016,7/10/2016
Q3-2016,7/1/2016,9/30/2016,2,7/11/2016,7/17/2016
Q3-2016,7/1/2016,9/30/2016,3,7/18/2016,7/24/2016
Q3-2016,7/1/2016,9/30/2016,4,7/25/2016,7/31/2016
Q3-2016,7/1/2016,9/30/2016,5,8/1/2016,8/7/2016
Q3-2016,7/1/2016,9/30/2016,6,8/8/2016,8/14/2016
Q3-2016,7/1/2016,9/30/2016,7,8/15/2016,8/21/2016
Q3-2016,7/1/2016,9/30/2016,8,8/22/2016,8/28/2016
Q3-2016,7/1/2016,9/30/2016,9,8/29/2016,9/4/2016
Q3-2016,7/1/2016,9/30/2016,10,9/5/2016,9/11/2016
Q3-2016,7/1/2016,9/30/2016,11,9/12/2016,9/18/2016
Q3-2016,7/1/2016,9/30/2016,12,9/19/2016,9/25/2016
Q3-2016,7/1/2016,9/30/2016,13,9/26/2016,9/30/2016
Q4-2016,10/1/2016,12/31/2016,1,10/1/2016,10/9/2016
Q4-2016,10/1/2016,12/31/2016,2,10/10/2016,10/16/2016
Q4-2016,10/1/2016,12/31/2016,3,10/17/2016,10/23/2016
Q4-2016,10/1/2016,12/31/2016,4,10/24/2016,10/30/2016
Q4-2016,10/1/2016,12/31/2016,5,10/31/2016,11/6/2016
Q4-2016,10/1/2016,12/31/2016,6,11/7/2016,11/13/2016
Q4-2016,10/1/2016,12/31/2016,7,11/14/2016,11/20/2016
Q4-2016,10/1/2016,12/31/2016,8,11/21/2016,11/27/2016
Q4-2016,10/1/2016,12/31/2016,9,11/28/2016,12/4/2016
Q4-2016,10/1/2016,12/31/2016,10,12/5/2016,12/11/2016
Q4-2016,10/1/2016,12/31/2016,11,12/12/2016,12/18/2016
Q4-2016,10/1/2016,12/31/2016,12,12/19/2016,12/25/2016
Q4-2016,10/1/2016,12/31/2016,13,12/26/2016,12/31/2016
Q1-2018,1/1/2018,3/31/2018,1,1/1/2018,1/7/2018
Q1-2018,1/1/2018,3/31/2018,2,1/8/2018,1/14/2018
Q1-2018,1/1/2018,3/31/2018,3,1/15/2018,1/21/2018
Q1-2018,1/1/2018,3/31/2018,4,1/22/2018,1/28/2018
Q1-2018,1/1/2018,3/31/2018,5,1/29/2018,2/4/2018
Q1-2018,1/1/2018,3/31/2018,6,2/5/2018,2/11/2018
Q1-2018,1/1/2018,3/31/2018,7,2/12/2018,2/18/2018
Q1-2018,1/1/2018,3/31/2018,8,2/19/2018,2/25/2018
Q1-2018,1/1/2018,3/31/2018,9,2/26/2018,3/4/2018
Q1-2018,1/1/2018,3/31/2018,10,3/5/2018,3/11/2018
Q1-2018,1/1/2018,3/31/2018,11,3/12/2018,3/18/2018
Q1-2018,1/1/2018,3/31/2018,12,3/19/2018,3/25/2018
Q1-2018,1/1/2018,3/31/2018,13,3/26/2018,3/31/2018
Q2-2018,4/1/2018,6/30/2018,1,4/1/2018,4/8/2018
Q2-2018,4/1/2018,6/30/2018,2,4/9/2018,4/15/2018
Q2-2018,4/1/2018,6/30/2018,3,4/16/2018,4/22/2018
Q2-2018,4/1/2018,6/30/2018,4,4/23/2018,4/29/2018
Q2-2018,4/1/2018,6/30/2018,5,4/30/2018,5/6/2018
Q2-2018,4/1/2018,6/30/2018,6,5/7/2018,5/13/2018
Q2-2018,4/1/2018,6/30/2018,7,5/14/2018,5/20/2018
Q2-2018,4/1/2018,6/30/2018,8,5/21/2018,5/27/2018
Q2-2018,4/1/2018,6/30/2018,9,5/28/2018,6/3/2018
Q2-2018,4/1/2018,6/30/2018,10,6/4/2018,6/10/2018
Q2-2018,4/1/2018,6/30/2018,11,6/11/2018,6/17/2018
Q2-2018,4/1/2018,6/30/2018,12,6/18/2018,6/24/2018
Q2-2018,4/1/2018,6/30/2018,13,6/25/2018,6/30/2018
Q3-2018,7/1/2018,9/30/2018,1,7/1/2018,7/8/2018
Q3-2018,7/1/2018,9/30/2018,2,7/9/2018,7/15/2018
Q3-2018,7/1/2018,9/30/2018,3,7/16/2018,7/22/2018
